datetime,open,high,low,close,volumns
2022-02-16 00:00:00,2.529,2.58,2.457,2.547,56432945.9
2022-02-17 00:00:00,2.547,2.582,2.29,2.325,56657898.1
2022-02-18 00:00:00,2.325,2.379,2.271,2.294,53063896
2022-02-19 00:00:00,2.294,2.336,2.227,2.286,48763785.9
2022-02-20 00:00:00,2.287,2.297,2.167,2.197,45441932.9
2022-02-21 00:00:00,2.196,2.272,2.06,2.069,80369139.9
2022-02-22 00:00:00,2.07,2.178,2.026,2.166,55335378.4
2022-02-23 00:00:00,2.166,2.229,2.097,2.102,43913897.4
2022-02-24 00:00:00,2.103,2.122,1.857,2.069,121791192.4
2022-02-25 00:00:00,2.069,2.163,2.028,2.146,55433494.4
2022-02-26 00:00:00,2.145,2.396,2.133,2.161,53057579.7
2022-02-27 00:00:00,2.162,2.248,2.054,2.09,82675125.2
2022-02-28 00:00:00,2.09,2.284,2.06,2.282,71243439.6
2022-03-01 00:00:00,2.282,2.313,2.206,2.264,55239432.2
2022-03-02 00:00:00,2.265,2.284,2.177,2.212,48301294.6
2022-03-03 00:00:00,2.212,2.223,2.12,2.154,43655620.5
2022-03-04 00:00:00,2.154,2.164,1.97,2,60285572.1
2022-03-05 00:00:00,2.001,2.052,1.958,2.041,31643583.3
2022-03-06 00:00:00,2.042,2.057,1.944,1.96,40797808.5
2022-03-07 00:00:00,1.96,2.02,1.868,1.919,52454953.9
2022-03-08 00:00:00,1.919,1.994,1.909,1.969,43166759.4
2022-03-09 00:00:00,1.97,2.079,1.967,2.065,38773131.2
2022-03-10 00:00:00,2.065,2.1,1.929,1.983,52518555.5
2022-03-11 00:00:00,1.982,2.016,1.921,1.972,42916780.5
2022-03-12 00:00:00,1.973,2.008,1.964,1.968,23212900
2022-03-13 00:00:00,1.969,2.006,1.887,1.905,35283509.5
2022-03-14 00:00:00,1.905,1.976,1.882,1.966,37791028.3
2022-03-15 00:00:00,1.966,2.009,1.915,1.985,31160508.4
2022-03-16 00:00:00,1.986,2.095,1.974,2.084,49755612.4
2022-03-17 00:00:00,2.083,2.097,2.05,2.085,22941988.7
2022-03-18 00:00:00,2.085,2.145,2.049,2.127,26971171.2
